Processes: 657 total, 2 running, 655 sleeping, 2330 threads 
2023/06/10 02:44:39
Load Avg: 1.84, 1.65, 1.65 
CPU usage: 3.36% user, 7.43% sys, 89.20% idle 
SharedLibs: 933M resident, 133M data, 79M linkedit.
MemRegions: 267631 total, 8214M resident, 389M private, 3231M shared.
PhysMem: 32G used (3430M wired, 578M compressor), 288M unused.
VM: 32T vsize, 3409M framework vsize, 14784(0) swapins, 16256(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
21535  com.apple.WebKit 0.0  01:26.80 6      2   109    763M   41428K 0B     21535 1     sleeping *0[44608]   0.00000 0.00000    501 613559   503     802672    1262631   1856553   4121089   698092     3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
21315  photoanalysisd   0.0  00:51.53 2      1   150    22552K 53248B 13548K 21315 1     sleeping *0[20]      0.00000 0.00000    501 76570    638     2626      1373      1584067   3883237   79473      859     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
21284  mediaanalysisd   0.0  00:08.97 2      1   66     17732K 60372K 4096B  21284 1     sleeping *0[23]      0.00000 0.00000    501 207134   376     44421     22661     434644    33949     74810      10175   0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
21156  com.apple.WebKit 0.0  08:55.03 5      1   105    358M   31212K 0B     21156 1     sleeping *0[362879]  0.00000 0.00000    501 1044817  506     2020901   2471677   3046023   16437248  2679866    396     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
17712  FindMyNotificati 0.0  00:00.01 3      2   51     1164K  0B     0B     17712 1     sleeping *0[1]       0.00000 0.00000    501 2458     188     177       71        738       412       125        4       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14453  PlugInLibrarySer 0.0  00:00.00 2      1   24     752K   0B     40960B 14453 1     sleeping *0[2]       0.00000 0.00000    501 1063     140     116       45        384       254       51         3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14439  diskimagesiod    0.0  00:00.97 3      2   65     40064K 0B     0B     14439 1     sleeping *0[1]       0.00000 0.00000    271 18848    165     610       479       1107      628       1879       32      0     0.0   0      0      _diskimagesiod     N/A    N/A   N/A   N/A   N/A   N/A  
14103  Ka-Block! Conten 0.0  00:00.02 3      2   51     1360K  0B     0B     14103 1     sleeping *0[1]       0.00000 0.00000    501 3585     229     193       75        735       429       120        1       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14102  VTDecoderXPCServ 0.0  00:00.05 2      1   67     3116K  0B     40960B 14102 1     sleeping *0[5]       0.00000 0.00000    501 2830     196     463       227       2917      754       167        3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14101  appstorecomponen 0.0  00:00.86 4      1   132    9904K  176K   0B     14101 1     sleeping *1[2]       0.00000 0.00000    501 12497    482     2855      740       43044     14657     17790      58      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14091  com.apple.Safari 0.0  00:00.15 2      1   59     2128K  0B     8192B  14091 1     sleeping *0[4]       0.00000 0.00000    501 7279     265     311       142       5740      702       1004       12      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14061  VTDecoderXPCServ 0.0  00:00.20 2      1   67     6648K  0B     61440B 14061 1     sleeping *0[47]      0.00000 0.00000    501 8523     228     5695      2868      3763      5181      616        3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14054  App Store        0.0  00:09.87 6      1   528    99M    3256K  0B     14054 1     sleeping  0[1248]    0.00000 0.00000    501 88316    1240    39701     15776     122431    101450    93136      222     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
14005  package_script_s 0.0  00:00.03 2      1   36     1064K  0B     16384B 14005 1     sleeping *0[6]       0.00000 0.00000    0   1874     183     312       86        2347      777       814        2       0     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
13834  mdworker         0.0  00:02.30 2      1   51     1404K  0B     444K   13834 1     sleeping *0[1]       0.00000 0.00000    501 5882     201     232       110       104261    605       4633       20      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13579  PlugInLibrarySer 0.0  00:00.00 2      1   24     692K   0B     36864B 13579 1     sleeping *0[1]       0.00000 0.00000    501 1035     140     115       44        375       246       49         3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13533  diskimagesiod    0.0  01:31.29 3      2   64     38208K 0B     0B     13533 1     sleeping *0[1]       0.00000 0.00000    271 25779    165     3856      3727      6458      2267      76004      31      0     0.0   0      0      _diskimagesiod     N/A    N/A   N/A   N/A   N/A   N/A  
13531  XprotectService  0.0  00:00.05 2      1   43     1444K  0B     116K   13531 1     sleeping *0[5]       0.00000 0.00000    501 4736     212     217       114       1518      511       197        10      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13207  zsh              0.0  00:00.03 1      0   22     1264K  0B     0B     13207 13206 sleeping *0[1]       0.00000 0.00000    501 2253     704     93        38        4542      207       200        10      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13206  login            0.0  00:00.01 2      1   33     1216K  0B     0B     13206 13205 sleeping *0[9]       0.00000 0.00000    0   1431     219     85        34        1259      233       113        2       0     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
13205  Terminal         0.0  00:01.73 6      1   242    27240K 6268K  0B     13205 1     sleeping *0[497]     0.00000 0.00000    501 39042    566     24399     5950      23890     63136     23006      162     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13201  PlugInLibrarySer 0.0  00:00.01 2      1   25     852K   0B     8192B  13201 1     sleeping *0[12]      0.00000 0.00000    501 1107     140     126       55        475       279       103        3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13022  ShareSheetUI     0.0  00:01.30 3      1   255    9792K  136K   0B     13022 1     sleeping  0[833]     0.00000 0.00000    501 15298    817     11094     4201      32791     33255     14592      92      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13010  SandboxedService 0.0  00:00.02 2      1   53     1684K  12288B 120K   13010 1     sleeping *0[2]       0.00000 0.00000    501 3236     203     199       92        576       517       151        2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13009  MTLCompilerServi 0.0  00:00.04 2      1   33     5368K  0B     73728B 13009 1     sleeping *0[3]       0.00000 0.00000    501 5316     431     142       76        671       366       111        2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
13007  LookupViewServic 0.0  00:00.48 3      1   204    8728K  12288B 0B     13007 1     sleeping  0[820]     0.00000 0.00000    501 11863    465     6556      1915      13109     18017     7008       45      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12961  com.apple.audio. 0.0  00:00.03 2      1   26     1948K  0B     24576B 12961 1     sleeping *0[2]       0.00000 0.00000    501 2129     165     121       47        494       270       111        3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12886  com.apple.Safari 0.0  00:00.45 2      1   60     4272K  0B     260K   12886 1     sleeping *0[103]     0.00000 0.00000    501 8859     246     1129      615       20911     2707      1372       4       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12879  1Password 7      0.0  00:09.10 5      1   641    69172K 6268K  0B     12879 1     sleeping  0[1750]    0.00000 0.00000    501 71320    1660    48561     15855     136862    122943    69738      293     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12771  sociallayerd     0.0  00:01.03 2      1   130    5004K  0B     516K   12771 1     sleeping *0[49]      0.00000 0.00000    501 13973    437     2723      1439      25231     8103      5820       13      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12713  remindd          0.0  00:01.38 4      3   101    4132K  512K   140K   12713 1     sleeping *0[75]      0.00000 0.00000    501 10136    507     928       541       60251     4763      37431      148     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12645  VTDecoderXPCServ 0.0  02:49.33 2      1   68     9928K  0B     5984K  12645 1     sleeping  0[0]       0.00000 0.00000    501 1849025  223     6574460   3305459   1453888   6059062   764357     2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12644  com.apple.photos 0.0  15:25.11 2      1   63     4472K  0B     1316K  12644 1     sleeping  0[0]       0.00000 0.00000    501 9818208  315     16329574  8454449   13076333  11212552  2587646    1060752 0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12634  PerfPowerService 0.0  00:25.57 4      2   390    7236K  256K   1076K  12634 1     sleeping *1[62]      0.00000 0.00000    0   40715    314     194043    99277     449388    203475    160433     20      0     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
12529  gamed            0.0  00:06.68 4      2   187    6748K  124K   20480B 12529 1     sleeping *0[61]      0.00000 0.00000    501 27977    575     53818     26801     188955    57822     40806      192     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12527  dataaccessd      0.0  00:01.53 4      1   151    5860K  0B     4304K  12527 1     sleeping *0[1]       0.00000 0.00000    501 15490    398     3394      1667      50768     12135     17854      31      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12524  passd            0.0  00:00.94 2      1   162    6320K  140K   3152K  12524 1     sleeping *0[148]     0.00000 0.00000    501 13117    540     1680      1054      38248     7128      12347      382     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12518  progressd        0.0  00:00.46 2      1   54     2660K  0B     688K   12518 1     sleeping *0[60]      0.00000 0.00000    501 7565     275     602       357       9099      2360      4097       156     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12514  suggestd         0.0  01:31.99 2      1   286    9640K  2176K  94208B 12514 1     sleeping *0[689]     0.00000 0.00000    501 529235   584     41390     20118     2005482   283391    305914     26004   0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
